
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Bone marrow hypocellular,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Disseminated intravascular coagulation,3/559 %0.54,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Febrile neutropenia,0/559 %0.0,21/575 %3.65,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Hemolysis,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hemolytic uremic syndrome,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Leukocytosis,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Asystole,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Atrial fibrillation,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Atrial flutter,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Cardiac arrest,3/559 %0.54,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Cardiac disorders - Other specify,0/559 %0.0,7/575 %1.22,0/12 %0.0,1/33 %3.03,2/47 %4.26,0/376 %0.0
Chest pain - cardiac,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Heart failure,4/559 %0.72,15/575 %2.61,0/12 %0.0,1/33 %3.03,2/47 %4.26,0/376 %0.0
Left ventricular systolic dysfunction,3/559 %0.54,23/575 %4.0,0/12 %0.0,2/33 %6.06,4/47 %8.51,0/376 %0.0
Myocardial infarction,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Pericardial effusion,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Pericarditis,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Restrictive cardiomyopathy,0/559 %0.0,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Right ventricular dysfunction,2/559 %0.36,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Sinus bradycardia,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Sinus tachycardia,0/559 %0.0,10/575 %1.74,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Supraventricular tachycardia,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Ventricular arrhythmia,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Ventricular fibrillation,1/559 %0.18,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Ventricular tachycardia,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Adrenal insufficiency,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Endocrine disorders - Other specify,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hypothyroidism,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Eye disorders - Other specify,1/559 %0.18,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Optic nerve disorder,0/559 %0.0,0/575 %0.0,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Papilledema,0/559 %0.0,0/575 %0.0,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Abdominal distension,0/559 %0.0,2/575 %0.35,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Abdominal pain,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Anal pain,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Ascites,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Colitis,0/559 %0.0,9/575 %1.57,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Colonic perforation,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Diarrhea,0/559 %0.0,9/575 %1.57,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Enterocolitis,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Esophagitis,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Gastric hemorrhage,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Gastritis,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Gastrointestinal disorders - Other specify,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Ileus,0/559 %0.0,1/575 %0.17,0/12 %0.0,1/33 %3.03,1/47 %2.13,0/376 %0.0
Lower gastrointestinal hemorrhage,0/559 %0.0,0/575 %0.0,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Mucositis oral,0/559 %0.0,3/575 %0.52,1/12 %8.33,0/33 %0.0,0/47 %0.0,0/376 %0.0
Nausea,0/559 %0.0,1/575 %0.17,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Oral pain,0/559 %0.0,2/575 %0.35,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Pancreatitis,0/559 %0.0,8/575 %1.39,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Small intestinal obstruction,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Typhlitis,2/559 %0.36,24/575 %4.17,0/12 %0.0,1/33 %3.03,1/47 %2.13,0/376 %0.0
Upper gastrointestinal hemorrhage,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Vomiting,0/559 %0.0,1/575 %0.17,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Chills,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Death NOS,38/559 %6.8,35/575 %6.09,1/12 %8.33,5/33 %15.15,6/47 %12.77,0/376 %0.0
Edema face,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Fever,0/559 %0.0,13/575 %2.26,0/12 %0.0,0/33 %0.0,3/47 %6.38,0/376 %0.0
Gait disturbance,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hypothermia,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Multi-organ failure,1/559 %0.18,8/575 %1.39,0/12 %0.0,0/33 %0.0,2/47 %4.26,0/376 %0.0
Non-cardiac chest pain,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Pain,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Bile duct stenosis,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Cholecystitis,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Hepatic failure,2/559 %0.36,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hepatobiliary disorders - Other specify,0/559 %0.0,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Allergic reaction,1/559 %0.18,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Anaphylaxis,0/559 %0.0,5/575 %0.87,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Immune system disorders - Other specify,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Anorectal infection,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Appendicitis,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Bladder infection,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Bronchial infection,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Catheter related infection,0/559 %0.0,5/575 %0.87,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Cecal infection,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Duodenal infection,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Encephalitis infection,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Enterocolitis infectious,1/559 %0.18,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Esophageal infection,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Infections and infestations - Other specify,2/559 %0.36,13/575 %2.26,0/12 %0.0,2/33 %6.06,0/47 %0.0,0/376 %0.0
Lung infection,1/559 %0.18,13/575 %2.26,1/12 %8.33,2/33 %6.06,0/47 %0.0,0/376 %0.0
Lymph gland infection,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Meningitis,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Mucosal infection,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Periorbital infection,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Sepsis,17/559 %3.04,50/575 %8.7,0/12 %0.0,1/33 %3.03,4/47 %8.51,0/376 %0.0
Skin infection,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Soft tissue infection,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Tracheitis,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Upper respiratory infection,1/559 %0.18,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Urinary tract infection,1/559 %0.18,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Infusion related reaction,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Postoperative hemorrhage,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Vascular access complication,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Activated partial thromboplastin time prolonged,0/559 %0.0,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Alanine aminotransferase increased,0/559 %0.0,16/575 %2.78,0/12 %0.0,0/33 %0.0,2/47 %4.26,0/376 %0.0
Aspartate aminotransferase increased,1/559 %0.18,10/575 %1.74,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Blood bilirubin increased,2/559 %0.36,16/575 %2.78,0/12 %0.0,1/33 %3.03,1/47 %2.13,0/376 %0.0
Carbon monoxide diffusing capacity decreased,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Creatinine increased,0/559 %0.0,8/575 %1.39,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Ejection fraction decreased,2/559 %0.36,18/575 %3.13,0/12 %0.0,2/33 %6.06,4/47 %8.51,0/376 %0.0
Electrocardiogram QT corrected interval prolonged,1/559 %0.18,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Fibrinogen decreased,1/559 %0.18,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
GGT increased,0/559 %0.0,4/575 %0.7,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Investigations - Other specify,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Lipase increased,0/559 %0.0,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Lymphocyte count decreased,0/559 %0.0,5/575 %0.87,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Neutrophil count decreased,0/559 %0.0,8/575 %1.39,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Platelet count decreased,0/559 %0.0,7/575 %1.22,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Serum amylase increased,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Urine output decreased,1/559 %0.18,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Weight loss,0/559 %0.0,0/575 %0.0,0/12 %0.0,1/33 %3.03,1/47 %2.13,0/376 %0.0
White blood cell decreased,0/559 %0.0,5/575 %0.87,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Acidosis,0/559 %0.0,4/575 %0.7,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Alkalosis,0/559 %0.0,1/575 %0.17,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Anorexia,0/559 %0.0,1/575 %0.17,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Dehydration,0/559 %0.0,3/575 %0.52,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Hypercalcemia,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hyperglycemia,1/559 %0.18,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hyperkalemia,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Hypernatremia,2/559 %0.36,3/575 %0.52,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Hypertriglyceridemia,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hypoalbuminemia,0/559 %0.0,6/575 %1.04,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Hypocalcemia,0/559 %0.0,8/575 %1.39,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hypokalemia,1/559 %0.18,27/575 %4.7,0/12 %0.0,2/33 %6.06,1/47 %2.13,0/376 %0.0
Hypomagnesemia,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hyponatremia,0/559 %0.0,10/575 %1.74,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hypophosphatemia,1/559 %0.18,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Metabolism and nutrition disorders - Other specify,2/559 %0.36,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Tumor lysis syndrome,1/559 %0.18,3/575 %0.52,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Arthralgia,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Back pain,0/559 %0.0,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Neck pain,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Pain in extremity,0/559 %0.0,2/575 %0.35,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Neoplasms benign malignant and unspecified (incl cysts and polyps) - Other specify,2/559 %0.36,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,1/376 %0.27
Ataxia,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Central nervous system necrosis,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Cerebrospinal fluid leakage,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Cognitive disturbance,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Depressed level of consciousness,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Dizziness,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Dysesthesia,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Edema cerebral,1/559 %0.18,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Encephalopathy,1/559 %0.18,5/575 %0.87,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Headache,0/559 %0.0,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hydrocephalus,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hypersomnia,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Intracranial hemorrhage,2/559 %0.36,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,1/376 %0.27
Leukoencephalopathy,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Nervous system disorders - Other specify,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Neuralgia,0/559 %0.0,1/575 %0.17,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Paresthesia,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Peripheral sensory neuropathy,0/559 %0.0,14/575 %2.43,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Reversible posterior leukoencephalopathy syndrome,0/559 %0.0,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Seizure,1/559 %0.18,3/575 %0.52,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Somnolence,0/559 %0.0,4/575 %0.7,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Syncope,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Agitation,0/559 %0.0,2/575 %0.35,1/12 %8.33,0/33 %0.0,0/47 %0.0,0/376 %0.0
Anxiety,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Delirium,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Acute kidney injury,5/559 %0.89,15/575 %2.61,0/12 %0.0,3/33 %9.09,3/47 %6.38,0/376 %0.0
Cystitis noninfective,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hematuria,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Proteinuria,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Renal and urinary disorders - Other specify,1/559 %0.18,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Adult respiratory distress syndrome,3/559 %0.54,15/575 %2.61,0/12 %0.0,2/33 %6.06,0/47 %0.0,0/376 %0.0
Apnea,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Aspiration,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Atelectasis,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Bronchopulmonary hemorrhage,3/559 %0.54,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Bronchospasm,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Cough,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Dyspnea,1/559 %0.18,12/575 %2.09,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Epistaxis,0/559 %0.0,7/575 %1.22,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Hypoxia,3/559 %0.54,55/575 %9.57,1/12 %8.33,3/33 %9.09,3/47 %6.38,0/376 %0.0
Laryngeal edema,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Laryngeal mucositis,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Mediastinal hemorrhage,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Pharyngeal mucositis,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Pleural effusion,0/559 %0.0,8/575 %1.39,0/12 %0.0,1/33 %3.03,0/47 %0.0,0/376 %0.0
Pneumonitis,0/559 %0.0,9/575 %1.57,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Productive cough,0/559 %0.0,0/575 %0.0,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Pulmonary edema,3/559 %0.54,12/575 %2.09,0/12 %0.0,0/33 %0.0,2/47 %4.26,0/376 %0.0
Pulmonary hypertension,1/559 %0.18,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Respiratory failure,10/559 %1.79,22/575 %3.83,0/12 %0.0,2/33 %6.06,2/47 %4.26,0/376 %0.0
Respiratory thoracic and mediastinal disorders - Other specify,1/559 %0.18,6/575 %1.04,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Sore throat,0/559 %0.0,1/575 %0.17,1/12 %8.33,0/33 %0.0,0/47 %0.0,0/376 %0.0
Stridor,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Tracheal mucositis,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Wheezing,0/559 %0.0,3/575 %0.52,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Erythroderma,0/559 %0.0,0/575 %0.0,1/12 %8.33,0/33 %0.0,0/47 %0.0,0/376 %0.0
Pain of skin,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Palmar-plantar erythrodysesthesia syndrome,0/559 %0.0,1/575 %0.17,1/12 %8.33,1/33 %3.03,1/47 %2.13,0/376 %0.0
Pruritus,0/559 %0.0,1/575 %0.17,1/12 %8.33,0/33 %0.0,0/47 %0.0,0/376 %0.0
Rash maculo-papular,0/559 %0.0,10/575 %1.74,1/12 %8.33,2/33 %6.06,3/47 %6.38,0/376 %0.0
Skin and subcutaneous tissue disorders - Other specify,0/559 %0.0,2/575 %0.35,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Toxic epidermal necrolysis,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Urticaria,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Capillary leak syndrome,0/559 %0.0,5/575 %0.87,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0
Flushing,0/559 %0.0,1/575 %0.17,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Hypertension,0/559 %0.0,10/575 %1.74,0/12 %0.0,1/33 %3.03,1/47 %2.13,0/376 %0.0
Hypotension,7/559 %1.25,47/575 %8.17,1/12 %8.33,3/33 %9.09,3/47 %6.38,0/376 %0.0
Peripheral ischemia,1/559 %0.18,0/575 %0.0,0/12 %0.0,0/33 %0.0,0/47 %0.0,0/376 %0.0
Thromboembolic event,3/559 %0.54,3/575 %0.52,0/12 %0.0,0/33 %0.0,1/47 %2.13,0/376 %0.0

TRC105 for Liver Cancer That Has Not Responded to Sorafenib(https://clinicaltrials.gov/show/NCT01375569)
 ,TRC105 in Liver Cancer
 ,TRC105 is an experimental cancer drug designed to slow or stop the growth of tumors. It does this by preventing the growth of new blood vessels that feed these tumors. This drug is being used to test the safety and effectiveness to treat liver cancer that has not responded to standard therapy. TRC105 will be given as an intravenous infusion every two weeks.
Total all-cause mortality,0/11 %0.0
Total serious adverse events,5/11 %45.45
Myocardial infarction,1/11 %9.09
Hepatic failure,1/11 %9.09
