
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Uncertain study medication dose delivered,4/193 %2.07,9/193 %4.66
Drug infusion reaction,2/193 %1.04,0/193 %0.0
Overdose,1/193 %0.52,0/193 %0.0
Humerus fracture,1/193 %0.52,0/193 %0.0
Hip fracture,1/193 %0.52,0/193 %0.0
Occipital trauma,1/193 %0.52,0/193 %0.0
Hyperglycaemia,1/193 %0.52,0/193 %0.0
Cachexia,1/193 %0.52,1/193 %0.52
Pleural Mesothelioma,1/193 %0.52,0/193 %0.0
Pain right chest wall + right shoulder,0/193 %0.0,1/193 %0.52
Paraneoplastic fever,1/193 %0.52,0/193 %0.0
Brain mets,0/193 %0.0,1/193 %0.52
Transient ischaemic attack,0/193 %0.0,1/193 %0.52
Superior sagittal sinus thrombosis,0/193 %0.0,1/193 %0.52
Right hemispheric cerebrovascular accident,1/193 %0.52,0/193 %0.0
Encephalopathy,1/193 %0.52,0/193 %0.0
Jacksonian seizure,1/193 %0.52,0/193 %0.0
Abnormal renal function,1/193 %0.52,0/193 %0.0
Pulmonary embolism,2/193 %1.04,2/193 %1.04
Dyspnoea,4/193 %2.07,1/193 %0.52
Respiratory failure,2/193 %1.04,2/193 %1.04
Bronchospasm,1/193 %0.52,0/193 %0.0
Pneumonitis,0/193 %0.0,1/193 %0.52
Infection (chest) with normal ANC,0/193 %0.0,1/193 %0.52
Pleural effusion,2/193 %1.04,0/193 %0.0
Pleural pain,0/193 %0.0,1/193 %0.52
Pneumothorax,1/193 %0.52,0/193 %0.0
Haemoptysis,0/193 %0.0,1/193 %0.52

A Phase 1/2 Study of PXD101 (Belinostat) in Combination With Cisplatin  Doxorubicin and Cyclophosphamide in the First Line Treatment of Advanced or Recurrent Thymic  Malignancies(https://clinicaltrials.gov/show/NCT01100944)
 ,All Participants
 ,All participants who had at least one dose of belinostat.
Total all-cause mortality,13/26 %50.0
Total serious adverse events,20/26 %76.92
Anemia,1/26 %3.85
Febrile neutropenia,1/26 %3.85
Atrial fibrillation,1/26 %3.85
Diarrhea,1/26 %3.85
Death NOS,11/26 %42.31
Infusion related reaction,1/26 %3.85
Localized edema,1/26 %3.85
Catheter related infection,2/26 %7.69
Infections and infestations - Other Meningoencephylitis,1/26 %3.85
Infections and infestations - Other West Nile virus,1/26 %3.85
Lung infection,1/26 %3.85
Electrocardiogram QT corrected interval prolonged,1/26 %3.85
Neutrophil count decreased,1/26 %3.85
Neoplasms benign malignant and unspecified (incl cysts and polyps) - OtherBasal cell carcinoma,1/26 %3.85
Neoplasms benign malignant and unspecified (incl cysts and polyps) - Other Death,2/26 %7.69
Respiratory failure,1/26 %3.85
Thromboembolic event,5/26 %19.23

BI 6727 (Volasertib) Randomised Trial in Ovarian Cancer(https://clinicaltrials.gov/show/NCT01121406)
 ,Volasertib (BI 6727),Cytotoxic,Cytotoxic to Volasertib Switch
 ,Volasertib (BI 6727 300 mg) was administered as intravenous infusion over 2 hours at Day 1 of each 21-day treatment course.  Treatment was to be administered until disease progression or occurrence of toxicity leading to treatment discontinuation. Patients withdrawn from volasertib treatment could receive a treatment according to investigator's choice. The patients were to be followed for survival status.,Patients received a non-platinum cytotoxic single agent. The investigator chose the most appropriate drug according to patient status (previous chemotherapy effects cumulative toxic effects performance status and nutritional status) the product Summary of Product Characteristics (SPC) and the local standard of care. The following non-platinum regimens were recommended because they are regarded efficacious and safe in patients with resistant ovarian cancer:  Pegylated liposomal doxorubicin (PLD): 40 mg/m² at Day 1 (1 course = 28 days)  Topotecan: 1.25 mg/m² from Days 1 to 5 (1 course = 21 days) or 4 mg/m² at Days 1 8 and 15 (1 course = 28 days)  Paclitaxel: 80 mg/m² at Days 1 8 15 and 21 (1 course = 28 days)  Gemcitabine: 1000 mg/m² at Days 1 and 8 (1 course = 21 days),Patients of the cytotoxic arm who switched to treatment with Volasertib (BI 6727).
Total serious adverse events,24/54 %44.44,19/55 %34.55,12/24 %50.0
Anaemia,1/54 %1.85,0/55 %0.0,0/24 %0.0
Febrile neutropenia,1/54 %1.85,0/55 %0.0,0/24 %0.0
Neutropenia,0/54 %0.0,0/55 %0.0,2/24 %8.33
Thrombocytopenia,2/54 %3.7,0/55 %0.0,0/24 %0.0
Atrial fibrillation,0/54 %0.0,0/55 %0.0,1/24 %4.17
Abdominal distension,1/54 %1.85,0/55 %0.0,0/24 %0.0
Abdominal pain,4/54 %7.41,1/55 %1.82,2/24 %8.33
Abdominal pain upper,2/54 %3.7,0/55 %0.0,0/24 %0.0
Ascites,0/54 %0.0,1/55 %1.82,0/24 %0.0
Constipation,0/54 %0.0,1/55 %1.82,0/24 %0.0
Diarrhoea,1/54 %1.85,1/55 %1.82,0/24 %0.0
Gastrointestinal haemorrhage,0/54 %0.0,0/55 %0.0,1/24 %4.17
Gastrointestinal obstruction,0/54 %0.0,1/55 %1.82,0/24 %0.0
Ileal perforation,1/54 %1.85,0/55 %0.0,0/24 %0.0
Ileus,2/54 %3.7,0/55 %0.0,0/24 %0.0
Intestinal obstruction,1/54 %1.85,3/55 %5.45,1/24 %4.17
Large intestine perforation,1/54 %1.85,0/55 %0.0,0/24 %0.0
Nausea,1/54 %1.85,2/55 %3.64,0/24 %0.0
Rectal haemorrhage,1/54 %1.85,0/55 %0.0,0/24 %0.0
Small intestinal obstruction,0/54 %0.0,1/55 %1.82,0/24 %0.0
Subileus,0/54 %0.0,1/55 %1.82,0/24 %0.0
Vomiting,3/54 %5.56,2/55 %3.64,0/24 %0.0
Chest pain,1/54 %1.85,0/55 %0.0,0/24 %0.0
Condition aggravated,1/54 %1.85,0/55 %0.0,0/24 %0.0
Death,0/54 %0.0,1/55 %1.82,0/24 %0.0
Euthanasia,0/54 %0.0,0/55 %0.0,1/24 %4.17
General physical health deterioration,0/54 %0.0,1/55 %1.82,0/24 %0.0
Multi-organ failure,1/54 %1.85,0/55 %0.0,0/24 %0.0
Obstruction,2/54 %3.7,1/55 %1.82,0/24 %0.0
Pyrexia,2/54 %3.7,2/55 %3.64,0/24 %0.0
Cholecystitis,0/54 %0.0,1/55 %1.82,0/24 %0.0
Drug hypersensitivity,0/54 %0.0,1/55 %1.82,0/24 %0.0
Device related sepsis,0/54 %0.0,0/55 %0.0,1/24 %4.17
Pneumonia,0/54 %0.0,1/55 %1.82,0/24 %0.0
Pyelonephritis,0/54 %0.0,1/55 %1.82,0/24 %0.0
Sepsis,1/54 %1.85,1/55 %1.82,1/24 %4.17
Urinary tract infection,0/54 %0.0,0/55 %0.0,1/24 %4.17
Blood alkaline phosphatase increased,1/54 %1.85,0/55 %0.0,0/24 %0.0
Blood creatinine increased,1/54 %1.85,0/55 %0.0,0/24 %0.0
Gamma-glutamyltransferase increased,1/54 %1.85,0/55 %0.0,0/24 %0.0
Neutrophil count decreased,0/54 %0.0,0/55 %0.0,1/24 %4.17
Decreased appetite,0/54 %0.0,1/55 %1.82,0/24 %0.0
Dehydration,1/54 %1.85,0/55 %0.0,1/24 %4.17
Invasive ductal breast carcinoma,0/54 %0.0,0/55 %0.0,1/24 %4.17
Metastases to heart,1/54 %1.85,0/55 %0.0,0/24 %0.0
Neoplasm progression,0/54 %0.0,1/55 %1.82,1/24 %4.17
Tumour invasion,0/54 %0.0,0/55 %0.0,1/24 %4.17
Cerebrovascular accident,0/54 %0.0,1/55 %1.82,0/24 %0.0
Anxiety,0/54 %0.0,1/55 %1.82,0/24 %0.0
Panic reaction,1/54 %1.85,0/55 %0.0,0/24 %0.0
Pyelocaliectasis,0/54 %0.0,0/55 %0.0,1/24 %4.17
Atelectasis,1/54 %1.85,0/55 %0.0,0/24 %0.0
Dyspnoea,4/54 %7.41,0/55 %0.0,0/24 %0.0
Pleural effusion,0/54 %0.0,1/55 %1.82,1/24 %4.17
Pulmonary embolism,2/54 %3.7,0/55 %0.0,0/24 %0.0
Respiratory distress,1/54 %1.85,0/55 %0.0,0/24 %0.0
Hypertension,1/54 %1.85,0/55 %0.0,0/24 %0.0
Poor venous access,1/54 %1.85,0/55 %0.0,0/24 %0.0

Neoadjuvant Platinum-based Chemoradiation Therapy for Locally Advanced Triple Negative Breast Cancer(https://clinicaltrials.gov/show/NCT01167192)
 ,Neoadjuvant Cisplatin or Carboplatin AUC 6 & Radiation
 ,Cisplatin 75 mg/m^2 IV every 21 days for 4 cycles or Carboplatin AUC 6 IV every 21 days for 4 cycles.  Radiation beginning cycle 2 day 1 daily for 5-6 weeks 45-50 Gy.  Recommended mastectomy  Recommended adjuvant chemotherapy  -Doxorubicin 60 mg/m^2 and cyclophosphamide 600 mg/m^2 for 14 days for 4 cycles followed by paclitaxel 175 mg/m^2 for 14 days for 4 cycles)
Total serious adverse events,3/8 %37.5
Anemia,2/8 %25.0
Leukocytosis,1/8 %12.5
Bradycardia,1/8 %12.5
Cardiac arrest,1/8 %12.5
Pulseless electrical activity,1/8 %12.5
Nausea,1/8 %12.5
Vomiting,2/8 %25.0
Chills,2/8 %25.0
Fever,2/8 %25.0
Bacteremia,1/8 %12.5
Urinary tract infection,1/8 %12.5
Decreased lymphocytes,2/8 %25.0
Decreased platelets,1/8 %12.5
Increased creatinine,2/8 %25.0
Increased international normalized ratio (INR),1/8 %12.5
Alkaline phosphatase increased,2/8 %25.0
Anorexia,1/8 %12.5
Hypercalcemia,1/8 %12.5
Hyperglycemia,1/8 %12.5
Hyperkalemia,1/8 %12.5
Hypertriglyceridemia,1/8 %12.5
Hypoalbuminemia,2/8 %25.0
Hypocalcemia,1/8 %12.5
Hypoglycemia,1/8 %12.5
Hypomagnesemia,1/8 %12.5
Hyponatremia,1/8 %12.5
Back pain,1/8 %12.5
Ataxia,1/8 %12.5
Cerebral-vascular accident,1/8 %12.5
Dysarthia,1/8 %12.5
Acute renal injury,1/8 %12.5
Cellulitis,1/8 %12.5
Hypertension,1/8 %12.5

A Study of Olaratumab in Soft Tissue Sarcoma(https://clinicaltrials.gov/show/NCT01185964)
 ,Phase 1b: Olaratumab + Doxorubicin,Phase 2: Olaratumab + Doxorubicin,Phase 2: Doxorubicin,Phase 2: Doxorubicin: Optional Olaratumab After Progression
 ,All cycles are 21 days.  Cycles 1-8: Olaratumab 15 milligram/kilogram (mg/kg) on days 1+8 and doxorubicin 75 milligram/square meter (mg/m2) on day 1  All subsequent cycles until progression:  Olaratumab 15 mg/kg by intravenous IV on days 1+8 of a 21-day cycle,All cycles are 21 days.  Cycles 1-8: Olaratumab 15 mg/kg on days 1+8 and doxorubicin 75 mg/m2 on day 1  All subsequent cycles until progression:  Olaratumab 15 mg/kg by IV on days 1+8 of a 21-day cycle,All cycles are 21 days.  Cycles 1-8: doxorubicin 75 mg/m2 on day 1  At disease progression: optional Olaratumab 15 mg/kg on days 1+8 until further progression.,All subsequent cycles: Participants from doxorubicin monotherapy arm received optional Olaratumab 15 mg/kg on days 1+8 of a 21-day cycle.
Total serious adverse events,7/15 %46.67,27/64 %42.19,26/65 %40.0,9/30 %30.0
Anaemia,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Febrile neutropenia,2/15 %13.33,8/64 %12.5,8/65 %12.31,0/30 %0.0
Neutropenia,0/15 %0.0,3/64 %4.69,3/65 %4.62,0/30 %0.0
Thrombocytopenia,0/15 %0.0,0/64 %0.0,2/65 %3.08,0/30 %0.0
Cardiac arrest,0/15 %0.0,0/64 %0.0,0/65 %0.0,1/30 %3.33
Sinus bradycardia,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Inappropriate antidiuretic hormone secretion,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Abdominal pain,1/15 %6.67,1/64 %1.56,1/65 %1.54,0/30 %0.0
Abdominal pain upper,1/15 %6.67,1/64 %1.56,0/65 %0.0,0/30 %0.0
Ascites,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Constipation,0/15 %0.0,1/64 %1.56,1/65 %1.54,0/30 %0.0
Diarrhoea,1/15 %6.67,0/64 %0.0,1/65 %1.54,0/30 %0.0
Dry mouth,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Gastric perforation,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Gastric ulcer,1/15 %6.67,0/64 %0.0,0/65 %0.0,0/30 %0.0
Gastrointestinal haemorrhage,0/15 %0.0,0/64 %0.0,1/65 %1.54,1/30 %3.33
Ileus,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Nausea,2/15 %13.33,1/64 %1.56,2/65 %3.08,0/30 %0.0
Small intestinal obstruction,1/15 %6.67,1/64 %1.56,2/65 %3.08,0/30 %0.0
Upper gastrointestinal haemorrhage,0/15 %0.0,0/64 %0.0,0/65 %0.0,1/30 %3.33
Vomiting,3/15 %20.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Asthenia,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Death,1/15 %6.67,0/64 %0.0,0/65 %0.0,0/30 %0.0
Device breakage,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Disease progression,0/15 %0.0,0/64 %0.0,0/65 %0.0,1/30 %3.33
Non-cardiac chest pain,1/15 %6.67,1/64 %1.56,1/65 %1.54,0/30 %0.0
Pyrexia,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Hepatic haemorrhage,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Hypersensitivity,0/15 %0.0,2/64 %3.12,0/65 %0.0,0/30 %0.0
Actinomycotic skin infection,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Cellulitis,0/15 %0.0,1/64 %1.56,2/65 %3.08,0/30 %0.0
Clostridium difficile colitis,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Influenza,0/15 %0.0,0/64 %0.0,0/65 %0.0,1/30 %3.33
Neutropenic sepsis,0/15 %0.0,0/64 %0.0,2/65 %3.08,0/30 %0.0
Sepsis,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Septic shock,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Sinusitis,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Skin infection,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Staphylococcal bacteraemia,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Urinary tract infection,0/15 %0.0,1/64 %1.56,3/65 %4.62,0/30 %0.0
Anastomotic ulcer,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Fracture,1/15 %6.67,0/64 %0.0,0/65 %0.0,0/30 %0.0
Infusion related reaction,0/15 %0.0,0/64 %0.0,0/65 %0.0,1/30 %3.33
Procedural pain,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Wound necrosis,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Blood creatinine increased,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Troponin increased,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
White blood cell count decreased,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Decreased appetite,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Dehydration,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Hypocalcaemia,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Hypokalaemia,0/15 %0.0,1/64 %1.56,1/65 %1.54,0/30 %0.0
Hypomagnesaemia,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Arthralgia,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Back pain,2/15 %13.33,2/64 %3.12,0/65 %0.0,2/30 %6.67
Musculoskeletal chest pain,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Pain in extremity,0/15 %0.0,1/64 %1.56,0/65 %0.0,1/30 %3.33
Tumour pain,0/15 %0.0,0/64 %0.0,0/65 %0.0,1/30 %3.33
Cerebrovascular accident,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Convulsion,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Syncope,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Renal failure acute,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Dyspnoea,0/15 %0.0,0/64 %0.0,1/65 %1.54,1/30 %3.33
Obstructive airways disorder,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Pleural effusion,1/15 %6.67,1/64 %1.56,1/65 %1.54,0/30 %0.0
Pleuritic pain,0/15 %0.0,1/64 %1.56,0/65 %0.0,0/30 %0.0
Pneumonia aspiration,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0
Pneumothorax,0/15 %0.0,2/64 %3.12,2/65 %3.08,0/30 %0.0
Pulmonary embolism,1/15 %6.67,0/64 %0.0,1/65 %1.54,0/30 %0.0
Respiratory failure,0/15 %0.0,1/64 %1.56,1/65 %1.54,0/30 %0.0
Hypotension,0/15 %0.0,0/64 %0.0,1/65 %1.54,0/30 %0.0

Dose Escalation  Combination Chemotherapy Safety Study of Birinapant (TL32711)  in Subjects With Advanced or Metastatic Solid Tumors(https://clinicaltrials.gov/show/NCT01188499)
 ,Arm 1: Carboplatin/Paclitaxel + Birinapant,Arm 2: Irinotecan + Birinapant,Arm 3: Docetaxel + Birinapant,Arm 4: Gemcitabine + Birinapant,Arm 5: Liposomal Doxorubicin + Birinapant
 ,Carboplatin (AUC 6/Paclitaxel (175 mg/m2/IV) once every 3 (q3) weeks + TL32711 once weekly (7 days +/- 2 days) for 2 consecutive weeks followed by 1 week off for each cycle (3 weeks per cycle).  TL32711: 30 minute intravenous (IV) infusion of TL32711 administered once weekly for two consecutive weeks followed by one week off repeated every 3 weeks as tolerated in combination with chemotherapy,Irinotecan (350 mg/m2/IV) once every 3 (q3) weeks + TL32711 once weekly (7 days +/- 2 days) for 2 consecutive weeks followed by 1 week off for each cycle (3 weeks per cycle).  TL32711: 30 minute intravenous (IV) infusion of TL32711 administered once weekly for two consecutive weeks followed by one week off repeated every 3 weeks as tolerated in combination with chemotherapy,Docetaxel (75 mg/m2/IV) once every 3 (q3) weeks + TL32711 once weekly (7 days +/- 2 days) for 2 consecutive weeks followed by 1 week off for each cycle (3 weeks per cycle).  TL32711: 30 minute intravenous (IV) infusion of TL32711 administered once weekly for two consecutive weeks followed by one week off repeated every 3 weeks as tolerated in combination with chemotherapy,Gemcitabine (1000 mg/m2/IV) once weekly (7 days +/- 2 days) for 3 consecutive weeks followed by 1 week off + TL32711 once weekly (7 days +/- 2 days) for 2 consecutive weeks followed by 2 week off for each cycle (4 weeks per cycle).  TL32711: 30 minute intravenous (IV) infusion of TL32711 administered once weekly for two consecutive weeks followed by two weeks off repeated every 4 weeks as tolerated in combination with chemotherapy.,Liposomal doxorubicin (40 mg/m2/IV) every 4 weeks + TL32711 once weekly (7 days +/- 2 days) for 2 consecutive weeks followed by 2 weeks off for each cycle (4 weeks per cycle).  TL32711: 30 minute intravenous (IV) infusion of TL32711 administered once weekly for two consecutive weeks followed by two weeks off repeated every 4 weeks as tolerated in combination with chemotherapy.
Total serious adverse events,9/24 %37.5,41/83 %49.4,16/33 %48.48,13/18 %72.22,9/18 %50.0
Anaemia,2/24 %8.33,3/83 %3.61,2/33 %6.06,1/18 %5.56,1/18 %5.56
Coagulopathy,0/24 %0.0,1/83 %1.2,0/33 %0.0,1/18 %5.56,0/18 %0.0
Disseminated intravascular coagulation,0/24 %0.0,0/83 %0.0,0/33 %0.0,0/18 %0.0,1/18 %5.56
Febrile neutropenia,0/24 %0.0,7/83 %8.43,1/33 %3.03,0/18 %0.0,0/18 %0.0
Neutropenia,0/24 %0.0,5/83 %6.02,1/33 %3.03,0/18 %0.0,0/18 %0.0
Leukocytosis,1/24 %4.17,0/83 %0.0,0/33 %0.0,0/18 %0.0,0/18 %0.0
Thrombocytopenia,0/24 %0.0,3/83 %3.61,1/33 %3.03,0/18 %0.0,0/18 %0.0
Pancytopenia,0/24 %0.0,3/83 %3.61,0/33 %0.0,0/18 %0.0,0/18 %0.0
Cardiac tamponade,0/24 %0.0,0/83 %0.0,0/33 %0.0,0/18 %0.0,1/18 %5.56
Stress cardiomyopathy,0/24 %0.0,0/83 %0.0,0/33 %0.0,1/18 %5.56,0/18 %0.0
Pyloric stenosis,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Abdominal pain,0/24 %0.0,4/83 %4.82,1/33 %3.03,0/18 %0.0,2/18 %11.11
Abdominal pain upper,1/24 %4.17,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Anal fissure,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Ascites,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Colitis,0/24 %0.0,3/83 %3.61,0/33 %0.0,0/18 %0.0,0/18 %0.0
Constipation,2/24 %8.33,0/83 %0.0,0/33 %0.0,0/18 %0.0,0/18 %0.0
Diarrhoea,0/24 %0.0,6/83 %7.23,0/33 %0.0,0/18 %0.0,0/18 %0.0
Gastrointestinal haemorrhage,0/24 %0.0,2/83 %2.41,1/33 %3.03,0/18 %0.0,0/18 %0.0
Intestinal obstruction,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Intestinal perforation,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Lower gastrointestinal haemorrhage,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Nausea,1/24 %4.17,2/83 %2.41,0/33 %0.0,1/18 %5.56,1/18 %5.56
Oesophagitis,0/24 %0.0,0/83 %0.0,0/33 %0.0,0/18 %0.0,1/18 %5.56
Reflux gastritis,0/24 %0.0,0/83 %0.0,0/33 %0.0,0/18 %0.0,1/18 %5.56
Small intestinal obstruction,1/24 %4.17,3/83 %3.61,1/33 %3.03,0/18 %0.0,0/18 %0.0
Upper gastrointestinal haemorrhage,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Vomiting,1/24 %4.17,5/83 %6.02,0/33 %0.0,2/18 %11.11,2/18 %11.11
Caecitis,0/24 %0.0,2/83 %2.41,0/33 %0.0,0/18 %0.0,0/18 %0.0
Gastric ulcer,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Gastritis,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Haematemesis,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Oesophageal varices haemorrhage,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Chest pain,0/24 %0.0,0/83 %0.0,0/33 %0.0,0/18 %0.0,1/18 %5.56
Death,1/24 %4.17,0/83 %0.0,0/33 %0.0,0/18 %0.0,0/18 %0.0
Disease progression,0/24 %0.0,4/83 %4.82,5/33 %15.15,1/18 %5.56,1/18 %5.56
Generalized oedema,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Oedema peripheral,1/24 %4.17,0/83 %0.0,0/33 %0.0,0/18 %0.0,0/18 %0.0
Pain,0/24 %0.0,0/83 %0.0,0/33 %0.0,1/18 %5.56,0/18 %0.0
Pyrexia,0/24 %0.0,1/83 %1.2,2/33 %6.06,3/18 %16.67,1/18 %5.56
Asthenia,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Fatigue,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Bile duct stenosis,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Cholelithiasis,0/24 %0.0,0/83 %0.0,0/33 %0.0,0/18 %0.0,1/18 %5.56
Jaundice cholestatic,0/24 %0.0,0/83 %0.0,0/33 %0.0,1/18 %5.56,0/18 %0.0
Bronchitis,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Cholangitis suppurative,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Cystitis,0/24 %0.0,0/83 %0.0,0/33 %0.0,1/18 %5.56,0/18 %0.0
Device related infection,0/24 %0.0,0/83 %0.0,0/33 %0.0,1/18 %5.56,0/18 %0.0
Empyema,0/24 %0.0,0/83 %0.0,0/33 %0.0,1/18 %5.56,0/18 %0.0
Escherichia bacteraemia,0/24 %0.0,0/83 %0.0,1/33 %3.03,0/18 %0.0,0/18 %0.0
Kidney infection,0/24 %0.0,0/83 %0.0,0/33 %0.0,2/18 %11.11,0/18 %0.0
Pneumonia,3/24 %12.5,2/83 %2.41,5/33 %15.15,2/18 %11.11,1/18 %5.56
Sepsis,1/24 %4.17,4/83 %4.82,1/33 %3.03,0/18 %0.0,0/18 %0.0
Septic shock,0/24 %0.0,0/83 %0.0,0/33 %0.0,0/18 %0.0,1/18 %5.56
Upper respiratory tract infection,0/24 %0.0,0/83 %0.0,0/33 %0.0,0/18 %0.0,1/18 %5.56
Urinary tract infection,0/24 %0.0,5/83 %6.02,0/33 %0.0,0/18 %0.0,0/18 %0.0
Bacterial sepsis,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Fall,1/24 %4.17,0/83 %0.0,0/33 %0.0,0/18 %0.0,0/18 %0.0
Femoral neck fracture,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Electrocardiogram QT prolonged,0/24 %0.0,0/83 %0.0,0/33 %0.0,1/18 %5.56,0/18 %0.0
International normalised ratio increased,0/24 %0.0,1/83 %1.2,0/33 %0.0,0/18 %0.0,0/18 %0.0
Dehydration,1/24 %4.17,8/83 %9.64,1/33 %3.03,1/18 %5.56,1/18 %5.56
Failure to thrive,0/24 %0.0,0/83 %0.0,2/33 %6.06,0/18 %0.0,0/18 %0.0
